fileList,sizeType
data/data_C6/images_C6/EndoCV2021_C6_0100030.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100031.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100032.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100033.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100034.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100035.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100036.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100037.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100038.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100039.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100040.jpg,"[0, 1, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100041.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100042.jpg,"[0, 0, 4, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100043.jpg,"[0, 1, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100044.jpg,"[0, 2, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100045.jpg,"[0, 2, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100046.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100047.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100049.jpg,"[0, 0, 0, 2]"
data/data_C6/images_C6/EndoCV2021_C6_0100050.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100052.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100053.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100056.jpg,"[0, 0, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100059.jpg,"[0, 0, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100060.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100061.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100062.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100063.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100065.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100066.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100067.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100068.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100070.jpg,"[0, 0, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100071.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100072.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100073.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100074.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100075.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100076.jpg,"[0, 0, 1, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100077.jpg,"[0, 0, 1, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100081.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100082.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100085.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100086.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100088.jpg,"[0, 0, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100089.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100090.jpg,"[0, 1, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100091.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100092.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100093.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100094.jpg,"[0, 0, 1, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100101.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100102.jpg,"[0, 0, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100103.jpg,"[0, 1, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100107.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100108.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100109.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100110.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100111.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100112.jpg,"[0, 0, 1, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100113.jpg,"[0, 0, 1, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100114.jpg,"[0, 2, 0, 0]"
data/data_C6/images_C6/EndoCV2021_C6_0100116.jpg,"[0, 0, 0, 1]"
data/data_C6/images_C6/EndoCV2021_C6_0100123.jpg,"[0, 0, 1, 0]"
